# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
allâme	علامه	ar
alâ	علاء	ar
alâeyyihâl	علی ای حال	ar
alâhide	عليحده	ar
alâik	علائق	ar
alâim		ar
alâka	علاقه	ar
alâkabahş	علاقه بخش	ar-fa
alâkadar	علاقه دار	ar-fa
alâkadrilimkân	علاقدرالامکان	ar
alâmet	علامت	ar
alâmât	علامات	ar
alâvechi	علِی وجه	ar
alâvefk	علی وفق	ar
alîl	عليل	ar
alîm	عليم	ar
amd	عمد	ar
amden	عمدا	ar
amel	عمل	ar
amele	عمله	ar
amelen	عملا	ar
ameliye	عمليه	ar
ameliyât	عمليات	ar
amelî	عملی	ar
amm	عم	ar
amme	عمه	ar
ammâ	اما	ar
amîk	عميق	ar
amîm	عميم	ar
amûd	عمود	ar
amûden	عمودا	ar
amûdî	عمودی	ar
an'ane	عنعنه	ar
an'anevî	عنعنوی	ar
an'anât	عنعنات	ar
anbean	آن به آن	ar-fa
anber	عنبر	ar
anberbû	عنبربو	ar-fa
andelîb	عندليب	ar
anh	عنه	ar
anhâ	عنها	ar
ankarîb	عن قریب	ar
ankasdin	عن قصد	ar
ankebût	عنکبوت	ar
ankâ	عنقا	ar
ansamîmilkalb	عن صميم القلب	ar
anâsır	عناصر	ar
anûd	عنود	ar
ar'ar	عرعر	ar
arab	عرب	ar
arabî	عربی	ar
arak	عرق	ar
arakdâr	عرقدار	ar-fa
arakçîn	عرقچين	ar-fa
arakıyye	عرقيه	ar
araz	عرض	ar
arazi	تخطيط اراضی	ar-fa
arbede	عربده	ar
arbedecû	عربده جو	ar-fa
ard	آرد	fa
ardbîz	آردبيز	fa
arefe	عرفه	ar
arman	آرمان	fa
arrif	معرف	ar
arz	ارض	ar
arzan	ارضا	ar
arzıhâl	ارض حال	ar
arâ'is	عرائس	ar
arâzî	اراضی	ar
arîz	عریض	ar
arûs		ar
arş	عرش	ar
arşa	عرشه	ar
asab	عصب	ar
asabiyyet	عصبيت	ar
asabiyülmizac	عصبی المزاج	ar
asabî	عصبی	ar
asalet	اصالت	ar
asamm	اصم	ar
asdika	اصدقا	ar
asel	عسل	ar
ases	عسس	ar
asfer	اصفر	ar
asgar	اصغر	ar
asgarî	اصغری	ar
ashâb	اصحاب	ar
asker	عسکر	ar
asl	اصل	ar
asla	اصلا	ar
aslî	اصلی	ar
aslünesl	اصل و نسل	ar-fa
asnâm	اصنام	ar
asr	عصر	ar
asrî	عصری	ar
asâ	عصا	ar
asâkir	عساکر	ar
asîl	اصيل	ar
asîlzâde	اصيل زاده	ar-fa
asîr	عصير	ar
asır	عصر بعد عصر	ar
at'ime	اطعمه	ar
ataş	عطش	ar
atebe	عتبه	ar
atebât	عتبات	ar
ateh	عته	ar
atf	عطف	ar
atfen	عطفا	ar
atiyyât	عطيات	ar
atlas	اطلس	ar
atnâb	اطناب	ar
ats	عطس	ar
atse	عطسه	ar
attar	عطار	ar
attârî	عطاری	ar-fa
atâ	عطاء	ar
atâbahş	عطا بخش	ar-fa
atâlet	عطالت	ar
atâyâ	عطایا	ar
atîk	عتيق	ar
atîka	عتيقه	ar
atîkiyyât	عتيقيات	ar
atûfet	عطوفت	ar
atş	عطش	ar
atşân	عطشان	ar
avdet	عودت	ar
avene	عونه	ar
avn	عون	ar
avret	عورت	ar
avrât	عورات	ar
avâid	عوائد	ar
avâkıb	عواقب	ar
avâlim	عوالم	ar
avâm	عوام	ar
avâmil	عوامل	ar
avâmpesend	عوام پسند	ar-fa
avân	اوان	ar
avârif	عوارف	ar
avârız	عوارض	ar
ayb	عيب	ar
ayn	عين	ar
aynen	عينا	ar
ayniyye	عينيه	ar
ayniyyet	عينيت	ar
ayyâr	عيار	ar
ayyârî	عياری	ar-fa
ayân	عيان	ar
ayâr	عيار	ar
ayş	عيش	ar
azab	عزب	ar
azamet	عظمت	ar
azdâd	اضداد	ar
azil	عزل	ar
aziz	عزیز	ar
azl	عزل	ar
azm	عزم	ar
azrar	اضرار	ar
azrâ	عذرا	ar
azrâil	عزدائيل	ar
azulât	عضلات	ar
azâb	عذاب	ar
azâbengiz	عذاب انگيز	ar-fa
azîm	عظيم	ar
azîmet	عزیمت	ar
azîzan	عزیزان	ar-fa
azîze	عزیزه	ar
ağayân	آغایان	tr-fa
ağbiyâ	اغبيا	ar
ağlâl	اغلال	ar
ağlât	اغلاط	ar
ağniye	اغنيه	ar
ağniyâ	اغنيا	ar
ağnâ	اغنی	ar
ağnâm	اغنام	ar
ağrâs	اغراس	ar
ağrâz	اغراض	ar
ağsân	اغصان	ar
ağyâr	اغيار	ar
ağşiye	اغشيه	ar
aşer	عشر	ar
aşere	عشره	ar
aşhâne	آشخانه	fa
aşk	عشق	ar
aşre	عشره	ar
aşîr	عشير	ar
ba'de	بعد	ar
ba'dehu	بعده	ar
ba'demâ	بعدما	ar
ba'dezin	بعدازاین	ar-fa
ba's	بعث	ar
ba'süba'delmevt	بعث بعد الموت	ar
ba'zan	بعضا	ar
bahis	بحث	ar
bahr	بحر	ar
bahs	بحث	ar
baht	بخت	fa
bahtiyârî	بختياری	fa
bahâ	بها	fa
bahâdar	بهادار	fa
bahâdır	بهادر	fa
bahâne	بهانه	fa
bahânecû	بهانه جو	fa
bahâr	بهار	fa
bahârî	بهاری	fa
bahâyim	بهایم	ar
