# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
meziyyet	مزیت	ar
meziyyât	مزیات	ar
mezkûr	مذکور	ar
mezmûm	مذموم	ar
mezra	مزرع	ar
mezra'a	مزرعه	ar
mezrû	مزروع	ar
mezun	مأذون	ar
mezunen	مأذونا	ar
mezâlim	مظالم	ar
mezâmin	مضامن	ar
mezâri	مزارع	ar
mezâyâ	مزایا	ar
meâb	مآب	ar
meâd	معاد	ar
meâhiz	مآخذ	ar
meâl	مآل	ar
meâric	معارج	ar
meâsî	معاصی	ar
meâyib	معایب	ar
meğâk	مغاک	fa
meş'al	مشعل	ar
meş'um	مشئوم	ar
meş'ûr	مشعور	ar
meşakkat	مشقت	ar
meşbû	مشبوع	ar
meşcer	مشجر	ar
meşcere	مشجره	ar
meşgale	مشغله	ar
meşgûliyet	مشغوليت	ar
meşhed	مشهد	ar
meşher	مشهر	ar
meşhûd	مشهود	ar
meşhûn	مشحون	ar
meşhûr	مشهور	ar
meşk	مشق	ar
meşkûkiyyet	مشکوکيت	ar
meşkûr	مشکور	ar
meşreb	مشرب	ar
meşrebe	مشربه	ar
meşrû	مشروع	ar
meşrûbât	مشروبات	ar
meşrûh	مشروح	ar
meşrûhât	مشروحات	ar
meşrûiyyet	مشروعيت	ar
meşrût	مشروط	ar
meşveret	مشورت	ar
meşâgil	مشاغل	ar
meşâhîr	مشاهير	ar
meşâil	مشاعل	ar
meşâmm	مشام	ar
meşârık	مشارق	ar
meşâyih	مشایخ	ar
meşîhat	مشيخت	ar
meşşâte	مشاطه	ar
midevî	معدوی	ar
midhat	مدحت	ar
mie	مائه	ar
miftah	مفتاح	ar
mihekk	محک	ar
mihen	محن	ar
mihmannevaz	مهمان نواز	fa
mihmannüvaz	مهمان نواز	fa
mihmân	مهمان	fa
mihmânserâ	مهمان سرا	fa
mihnet	محنت	ar
mihr	مهر	fa
mihrak	محراق	ar
mihrbân	مهربان	fa
mihter	مهتر	fa
mihver	محور	ar
mik'ab	مکعب	ar
mikdar	مقدار	ar
mikraz	مقراض	ar
mikyas	مقياس	ar
mil	ميل	ar
milel	ملل	ar
milhafe	ملحفه	ar
milk	ملک	ar
millet	ملت	ar
milliyetperver	مایت پرور	ar-fa
milliyye	مليه	ar
millî	ملی	ar
minba'd	من بعد	ar
mine'l-îmân	حب الوطن من الایمان	ar
minelkadim	من القدیم	ar
minen	منن	ar
minkale	منقله	ar
minkar	منقار	ar
minkaş	منقاش	ar
minnetdâr	منتدار	ar-fa
minvâl	منوال	ar
minşâr	منشار	ar
mir'ât	مرآت	ar
miralay	ميرآلای	fa-tr
mirashâr	ميراث خوار	ar-fa
mirliva	ميرلوا	fa-ar
mirsâd	مرصاد	ar
mirvaha	مروحه	ar
mirza	ميرزا	fa
mirâc	معراج	ar
mirâren	مرارا	ar
misal		ar
miskin	مسکين	ar
miskîn	مسکين	fa
misl	مثل	ar
mithara	مطهره	ar
miyâh	مياه	ar
miyân	ميان	fa
miyâr	معيار	ar
mizâc	مزاج	ar
miâd	ميعاد	ar
miğfer	مغفر	ar
mu'cizegû	معجزه گو	ar-fa
mu'cizât	معجزات	ar
mu'tiyat	معطيات	ar
mu'tâ	معطی	ar
mu'tâd	معتاد	ar
mu'tâde	معتاده	ar
muabbir	معبر	ar
muaccel	معجل	ar
muaddil	معدل	ar
muahhar	مؤخر	ar
muakkib	معقب	ar
mualla	معلی	ar
muallak	معلق	ar
muallakiyet	معلقيت	ar
muallim	معلم	ar
muallime	معلمه	ar
muallimât	معلمات	ar
muallimîn	معلمين	ar
muamelat	معاملات	ar
muamele	معامله	ar
muamma	معما	ar
muanber	معنبر	ar
muannid	معند	ar
muarrâ	معری	ar
muavenet	معاونت	ar
muavin	معاون	ar
muayede	معایده	ar
muayyen	معين	ar
muazzam	معظم	ar
muazzeb	معذب	ar
muazzez	معزز	ar
mubassır	مبصر	ar
mudhike	مضحکه	ar
mufassalan	مفصلا	ar
muganniye	مغنيه	ar
mugannî	مغنی	ar
mugayir	مغایر	ar
mugâlata	مغالطه	ar
mugâyeret	مغایرت	ar
muhabbet	محبت	ar
muhabere	مخابره	ar
muhabir	مخابر	ar
muhacim	مهاجم	ar
muhacir	مهاجر	ar
muhaddir	مخدر	ar
muhaddis	محدث	ar
muhafaza	محافظه	ar
muhafazakâr	محافظه کار	ar-fa
muhaffef	مخفف	ar
muhaffif	مخفف	ar
muhakeme	محاکمه	ar
muhakkak	محقق	ar
muhakkık	محقق	ar
muhalefet	مخالفت	ar
muhallil	محلل	ar
muhammen	مخمن	ar
muhammer	مخمر	ar
muhammes	مخمس	ar
muhannens	مخنث	ar
muhannet	محنط	ar
muharebat	محاربات	ar
muharebe	محاربه	ar
muharib	محارب	ar
muharremât	محرمات	ar
muharrer	محرر	ar
muharrib	مخرب	ar
muharrik	محرق	ar
muharrir	محرر	ar
muhasib	محاسب	ar
muhassala	محصله	ar
muhassas	مخصص	ar
muhatara	مخاطره	ar
muhavere	محاوره	ar
muhayyel	مخيل	ar
muhayyile	مخيله	ar
muhayyirülukûl	محيرالعقول	ar
muhbir	مخبر	ar
muhib	محب	ar
muhit	محيط	ar
muhtariyet	مختاریت	ar
muhtasar	مختصر	ar
muhtasaran	مختصرا	ar
muhtekir	محتکر	ar
muhtelefünfîh	مختلف فيه	ar
muhtelif	مختلف	ar
muhtelit	مختلط	ar
muhterem	محترم	ar
muhteriz	محترز	ar
muhteva	محتوا	ar
muhteviyat	محتویات	ar
muhtevî	محتوی	ar
muhteşem	محتشم	ar
muhtâc	محتاج	ar
muhyî	محيی	ar
muhâceret	مهاجرت	ar
muhâfız	محافظ	ar
muhâkemat	محاکمات	ar
muhâl	محال	ar
muhât	محاط	ar
muhık	محق	ar
mukaddem	مقدم	ar
mukaddemâ	مقدما	ar
mukadderat	مقدرات	ar
mukaddes	مقدس	ar
mukaddesat	مقدسات	ar
mukaddime	مقدمه	ar
mukallid	مقلد	ar
mukanna	مقنع	ar
mukannin	مقنن	ar
mukarreb	مقرب	ar
mukarrer	مقرر	ar
mukarrerat	مقررات	ar
mukassır	مقصر	ar
mukattar	مقطر	ar
mukavelat	مقاولات	ar
mukavele	مقاوله	ar
mukavelename	مقاوله نامه	ar-fa
mukavemet	مقاومت	ar
mukavim	مقاوم	ar
mukavvî	مقوی	ar
mukayyed	مقيد	ar
mukayyi	مقيیء	ar
mukni	مقنع	ar
muktebes	مقتبس	ar
muktedir	مقتدر	ar
muktedâ	مقتدا	ar
muktedî	مقتدی	ar
muktesid	مقتصد	ar
muktezî	مقتضی	ar
mukâbil	مقابل	ar
mukâyese	مقایسه	ar
mukîm	مقيم	ar
mukırr	مقر	ar
munfasıl	منفصل	ar
munis	مونس	ar
munkalib	منقلب	ar
munkarız	منقرض	ar
munsarif	منصرف	ar
munsif	منصف	ar
muntabık	منطبق	ar
muntazam	منتظم	ar
muntazaman	منتظما	ar
muntazır	منتظر	ar
munzam	منضم	ar
murabba	مربع	ar
murabbauşşekl	مربع الشکل	ar
murahhas	مرخص	ar
murakabe	مراقبه	ar
murakka	مرقع	ar
murakıb	مراقب	ar
murassa	مرصع	ar
murg	مرغ	fa
murzia	مرضعه	ar
murâd	مراد	other
murâfaa	مرافعه	ar
musadif	مصادف	ar
musahhah	مصحح	ar
musahib	مصاحب	ar
musalaha	مصالحه	ar
musannif	مصنف	ar
musarra	مصرع	ar
musattah	مسطح	ar
musavver	مصور	ar
musavvir	مصور	ar
mushaf	مصحف	ar
musir	مصر	ar
musirrane	مصرانه	ar-fa
mustakim	مستقيم	ar
musâb	مصاب	ar
musâfaha	مصافحه	ar
musîbet	مصيبت	ar
muta'assıb	متعصب	ar
mutabık	مطابق	ar
mutantan	مطنطن	ar
mutarriden	مطردا	ar
mutasarrıf	متصرف	ar
mutasavvıfâne	متصوفانه	ar-fa
mutavattın	متوطن	ar
mutayebe	مطایبه	ar
mutazammin	متضمن	ar
mutazarrır	متضرر	ar
muteber	معتبر	ar
mutedil	معتدل	ar
mutekid	معتقد	ar
mutemed	معتمد	ar
mutlak	مطلق	ar
mutlaka	مطلقا	ar
mutrib	مطرب	ar
muttasıl	متصل	ar
mutâlebe	مطالبه	ar
mutâlebât	مطالبات	ar
mutâva'at	مطاوعت	ar
mutî	مطيع	ar
muvacehe	مواجهه	ar
muvaffak	موفق	ar
muvaffakiyet	موفقيت	ar
muvahhiş	موحش	ar
muvakkar	موقر	ar
muvakkat	موقت	ar
muvakkaten	موقتا	ar
muvazene	موازنه	ar
muvazi	موازی	ar
muvazzaf	موظف	ar
muvâsalat	مواصلات	ar
muvâzaten	موازاتا	ar
muzafferiyet	مظفریت	ar
muzdarip	مضطرب	ar
muzlim	مظلم	ar
muztarib	مضطرب	ar
muzır	مضر	ar
muâdele	معادله	ar
muâdelet	معادلت	ar
muâdil	معادل	ar
muâfiyet	معافيت	ar
muâhede	معاهده	ar
muâhedenâme	معاهده نامه	ar-fa
muâheze	مؤاخذه	ar
muânid	معاند	ar
muâraza	معارضه	ar
muârız	معارض	ar
muâsır	معاصر	ar
muâvaza	معاوضه	ar
muâşaka	معاشقه	ar
muğber	مغبر	ar
muğfil	مغفل	ar
muğlak	مغلق	ar
muğlakiyet	مغلقيت	ar
muşamma	مشمع	ar
muşt	مشت	fa
mâ	ما	ar
mâadâ	ماعدا	ar
mâba'dut-tabîa	مابعدالطبيعه	ar
mâba'duttabîiyye	مابعدالطبيعيه	ar
mâbad	مابعد	ar
mâbeyn	مابين	ar
mâcera	ماجرا	ar
mâceraperest	ماجراپرست	ar-fa
mâde	ماده	fa
mâdelet	معدلت	ar
mâder	مادر	fa
mâderzâd	مادرزاد	fa
mâdiyân	مادیان	fa
mâdum	معدوم	ar
mâdumiyet	معدوميت	ar
mâdun	مادون	ar
mâdâmülhayat	مادامالحيات	ar
mâfevk	مافوق	ar
mâh	ماه	fa
mâhazar	ماحضر	ar
mâhe	ماهه	fa
mâhpâre	ماه پاره	fa
mâhru	ماهرو	fa
mâhtâb	ماهتاب	fa
mâhâne	ماهانه	fa
mâhî	ماهی	fa
mâide	مائده	ar
mâil	مائل	ar
mâkabl	ماقبل	ar
mâkablettârih	ماقبل التاریخ	ar
mâkiyan	ماکيان	fa
mâkul	معقول	ar
mâlihulya	مالی خوليا	other
mâlik	مالک	ar
mâlikiyet	مالکيت	ar
mâlâmâl	مالامال	fa
mâlî	مالی	ar
mâmafih	مع مافيه	ar
mâmelek	ماملک	ar
mânend	مانند	fa
mânia	مانعه	ar
mâr	مار	fa
mârgîr	مارگير	fa
mârpîç	مارپيچ	fa
mâsabak	ماسبق	ar
mâsebak	ماسبق	ar
mâsiva	ماسوی	ar
mâst	ماست	fa
mâtem	ماتم	ar
mâtemdar	ماتمدار	ar-fa
mâtemserâ	ماتمسرا	ar-fa
mâtemzede	ماتم زده	ar-fa
mâtemî	ماتمی	ar-fa
mâvaka	ماوقع	ar
mâverâ	ماورا	ar
mâye	مایه	fa
mâyedar	مایه دار	fa
mâyi	مایع	ar
mâzi	ماضی	ar
mâzu	مازو	fa
mâî	مائی	ar
mâşe	ماشه	fa
mâşiyen	ماشيا	ar
mâşî	ماشی	ar
mâşıta	ماشطه	ar
mîh	ميخ	fa
mîkat	ميقات	ar
mîlâd	ميلاد	ar
mîna	مينا	fa
mîrahur	ميرآخور	ar-fa
mîsak	ثاقمي	ar
mîvedar	ميوه دار	fa
mîzan	ميزان	ar
mîşîn	ميشين	fa
mû	مو	fa
mûcez	موجز	ar
mûcib	موجب	ar
mûcid	موجد	ar
mûhiş	موحش	ar
mûmâileyh	مومی اليه	ar
mûmâileyhim	مومی اليهم	ar
mûr	مور	fa
mûsikîşinas	موسيقی شناس	ar-fa
mûş	موش	fa
mûşikâfâne	موشکافانه	fa
mübadele	مبادله	ar
mübahesat	مباحثات	ar
mübahese	مباحثه	ar
mübalağa	مبالغه	ar
mübarek	مبارک	ar
mübareze	مبارزه	ar
mübdi	مبدع	ar
mübeşşir	مبشر	ar
mübhem	مبهم	ar
mübin	مبين	ar
mübrem	مبرم	ar
mübtedi	مبتدی	ar
mübtela	مبتلا	ar
mübtenî	مبتنی	ar
mübtezel	مبتذل	ar
mübâreke	امانات مبارکه	ar-fa
mübâyaa	مبایعه	ar
mücadele	مجادله	ar
mücavir	مجاور	ar
mücazat	مجازات	ar
mücbir	مجبر	ar
müceddid	مجدد	ar
mücehhez	مجهز	ar
mücellid	مجلد	ar
mücellâ	مجلا	ar
mücerreb	مجرب	ar
mücerred	مجرد	ar
mücmelen	مجملا	ar
mücrim	مجرم	ar
müctemi'	مجتمع	ar
müdafaa	مدافعه	ar
müdahale	مداخله	ar
müdahene	مداهنه	ar
müdavim	مداوم	ar
müddet	مدت	ar
müddeî	مدعی	ar
müdevver	مدور	ar
müdhiş	مدهش	ar
müdhişe	مدهشه	ar
müdrik	مدرک	ar
müebbeden	مؤبدا	ar
müellefat	مؤلفات	ar
müellif	مؤلف	ar
müesses	مؤسس	ar
müessesat	مؤسسات	ar
müessese	مؤسسه	ar
müessif	مؤسف	ar
müessir	مؤثر	ar
müessiriyet	مؤثریت	ar
müessis	مؤسس	ar
müeyyide	مؤیده	ar
müfekkire	مفکره	ar
müfid	مفيد	ar
müflis	مفلس	ar
müfreze	مفرزه	ar
müfrit	مفرط	ar
müfsid	مفسد	ar
müftehir	مفتخر	ar
müftekir	مفتقر	ar
müfteri	مفتری	ar
müheyya	مهيا	ar
müheyyic	مهيج	ar
mühim	مهم	ar
mühimmat	مهمات	ar
mühimme	مهمه	ar
mühlet	مهلت	ar
mühlik	مهلک	ar
mühr	مهر	fa
mühtedî	مهتدی	ar
mühtez	مهتز	ar
mühürdar	مهردار	fa
müje	مژه	fa
müjgan	مژگان	fa
mükedder	مکدر	ar
mükemmelen	مکملا	ar
mükemmeliyet	مکمليت	ar
mükerrer	مکرر	ar
mükerreren	مکررا	ar
mükeyyif	مکيف	ar
mükteseb	مکتسب	ar
müktesebat	مکتسبات	ar
müktesebe	مکتسبه	ar
mükâfat	مکافات	ar
mükâleme	مکالمه	ar
mükâtebe	مکاتبه	ar
mülakat	ملاقات	ar
mülayim	ملایم	ar
mülazım	ملازم	ar
mülevven	ملون	ar
mülevves	ملوث	ar
mülga	ملغا	ar
mülhakat	ملحقات	ar
mülk	ملک	ar
mülteci	ملتجی	ar
mültefit	ملتفت	ar
mülûk	ملوک	ar
mümane'et	ممانعت	ar
mümaselet	مماثلت	ar
mümasil	مماثل	ar
mümessil	ممثل	ar
mümeyyiz	مميز	ar
mümeyyize	مميزه	ar
mümin	مؤمن	ar
müminîn	مؤمنين	ar
mümkin	ممکن	ar
mümsik	ممسک	ar
mümtaz	ممتاز	ar
mümtehin	ممتحن	ar
mümteni	ممتنع	ar
mümzâ	ممضی	ar
mümâşat	مماشات	ar
mün'akid	منعقد	ar
mün'akis	منعکس	ar
mün'im	منعم	ar
münafık	منافق	ar
münakkaş	منقش	ar
münasebat	مناسبات	ar
münaza'ât	منازعات	ar
münbais	منبعث	ar
münbit	منبت	ar
müncemid	منجمد	ar
mündemic	مندمج	ar
mündericât	مندرجات	ar
münebbih	منبه	ar
müneccim	منجم	ar
münekkid	منقد	ar
münevver	منور	ar
münferid	منفرد	ar
münhal	منحل	ar
münharif	شبه منحرف	ar-fa
münhasır	منحصر	ar
münhasıran	منحصرا	ar
münhezim	منهزم	ar
münkasım	منقسم	ar
münker	منکر	ar
münkesir	منکسر	ar
münkir	منکر	ar
müntahab	منتخب	ar
müntakim	منتقم	ar
münteha	منتها	ar
müntesib	منتسب	ar
münteşir	منتشر	ar
münâcat	مناجات	ar
münâdi	منادی	ar
münâkasa	مناقصه	ar
müptelâ	مبتلا	ar
müracaat	مراجعت	ar
müradif	مرادف	ar
mürai	مرائی	ar
mürasele	مراسله	ar
müraselât	مراسلات	ar
mürde	مرده	fa
mürebbî	مربی	ar
müreccah	مرجح	ar
müreffeh	مرفه	ar
mürekkeb	مرکب	ar
müretteb	مرتب	ar
mürettib	مرتب	ar
mürevvic	مروج	ar
mürg	مرغ	fa
mürgâb	مرغاب	fa
mürid	مرید	ar
mürted	مرتد	ar
mürtefi	مرتفع	ar
mürtehen	مرتهن	ar
mürteiş	مرتعش	ar
mürtekib	مرتکب	ar
mürteşî	مرتشی	ar
mürâat	مراعات	ar
mürûr	مرور	ar
mürüvvet	مروت	ar
mürşid	مرشد	ar
müsaade	مساعده	ar
müsaadekâr	مساعده کار	ar-fa
müsabaka	مسابقه	ar
müsabık	مسابق	ar
müsademe	مصادمه	ar
müsadere	مصادره	ar
müsafir	مسافر	ar
müsaid	مساعد	ar
müsalaha	مصالحه	ar
müsalemetkâr	مسالمت کار	ar-fa
müsamere	مسامره	ar
müsbet	مثبت	ar
müsebbib	مسبب	ar
müseccel	مسجل	ar
müsekkit	مسکت	ar
müsellah	مسلح	ar
müselleme	مسلمه	ar
müselles	مثلث	ar
müsellesat	مثلثات	ar
müsellesüşşekl	مثلث الشکل	ar
müselmân	مسلمان	ar
müselsel	مسلسل	ar
müsemma	مسمی	ar
müshil	مسهل	ar
müsin	مسن	ar
müskirat	مسکرات	ar
müslim	مسلم	ar
müsmir	مثمر	ar
müsmiriyet	مثمریت	ar
müsrif	مسرف	ar
müsta'fî	مستعفی	ar
müsta'mere	مستعمره	ar
müstab'ed	مستبعد	ar
müstahak	مستحق	ar
müstahdem	مستخدم	ar
müstahdemîn	مستخدمين	ar
müstaid	مستعد	ar
müstakil	مستقل	ar
müstakillen	مستقلا	ar
müstakraza	مستقرضه	ar
müstamel	مستعمل	ar
müstantık	مستنطق	ar
müstağnî	مستغنی	ar
müste'cir	مستأجر	ar
müstebid	مستبد	ar
müstehlik	مستهلک	ar
müstehzi	مستهزی	ar
müstemleke	مستملکه	ar
müstenid	مستند	ar
müsteniden	مستندا	ar
müsterih	مستریح	ar
müstesnâ	مستثنی	ar
müsteşar	مستشار	ar
müsteşrik	مستشرق	ar
müsvedde	مسوده	ar
müsâdif	مصادف	ar
müsâmaha	مسامحه	ar
müsâmahakâr	مسامحه کار	ar-fa
müsâvat	مساوات	ar
mütalaa	مطالعه	ar
mütareke	متارکه	ar
müteaddid	متعدد	ar
müteaffin	متعفن	ar
müteahhid	متعهد	ar
müteakib	متعاقب	ar
müteallik	متعلق	ar
müteallim	متعلم	ar
müteammim	متعمم	ar
müteannid	متعند	ar
müteassıb	متعصب	ar
mütebahhir	متبحر	ar
mütebahhirane	متبحرانه	ar-fa
mütebaki	متباقی	ar
mütebariz	متبارز	ar
mütebasbıs	متبصبص	ar
mütebessim	متبسم	ar
müteceddid	متجدد	ar
mütecellî	متجلی	ar
mütecessis	متجسس	ar
mütecessisâne	متجسسانه	ar-fa
mütecânis	متجانس	ar
mütecâviz	متجاوز	ar
mütedair	متدائر	ar
mütedeyyin	متدین	ar
müteehhil	متأهل	ar
müteellim	متألم	ar
müteessif	متأسف	ar
müteessifâne	متأسفانه	ar-fa
müteessir	متأثر	ar
müteezzî	متأذی	ar
mütefekkir	متفکر	ar
mütefekkirane	متفکرانه	ar-fa
mütefelsifâne	متفلسفانه	ar-fa
mütefennin	متفنن	ar
müteferrik	متفرق	ar
mütefessih	متفسخ	ar
mütegallib	متغلب	ar
mütegâyir	متغایر	ar
mütehaccir	متحجر	ar
mütehalif	متخالف	ar
mütehammil	متحمل	ar
müteharrik	متحرک	ar
müteharrî	متحری	ar
mütehassir	متحسر	ar
mütehassis	متحسس	ar
mütehassıs	متخصص	ar
mütehavvil	متحول	ar
mütehayyir	متحير	ar
mütehâşi	متحاشی	ar
mütekaddim	متقدم	ar
mütekaid	متقاعد	ar
mütekamil	متکامل	ar
mütekebbir	متکبر	ar
mütekeddir	متکدر	ar
mütekellim	متکلم	ar
mütekâbil	متقابل	ar
mütekâbile	متقابله	ar
mütekâbilen	متقابلا	ar
mütelebbis	متلبس	ar
mütelevvin	متلون	ar
mütemadi	متمادی	ar
mütemadiyen	متمادیا	ar
mütemayil	متمایل	ar
mütemeddin	متمدن	ar
mütemellik	متملک	ar
mütemerkiz	متمرکز	ar
mütemevvic	متموج	ar
mütemevvil	متمول	ar
mütemmim	متمم	ar
mütenasib	متناسب	ar
mütenavib	متناوب	ar
müteneffizân	متنفذان	ar-fa
mütenevvi	متنوع	ar
mütenâhi	متناهی	ar
mütenâzır	متناظر	ar
müteradif	مترادف	ar
müterafik	مترافق	ar
mütercem	مترجم	ar
mütercim	مترجم	ar
mütesadif	متصادف	ar
müteselli	متسلی	ar
müteselsil	متسلسل	ar
müteselsilen	متسلسلا	ar
mütesâvi	متساوی	ar
mütetebbi	متتبع	ar
mütevakkıf	متوقف	ar
mütevaliyen	متواليا	ar
mütevattın	متوطن	ar
mütevazin	متوازن	ar
müteveccih	متوجه	ar
müteveccihen	متوجها	ar
müteveffâ	متوفا	ar
mütevekkil	متوکل	ar
mütevellid	متولد	ar
mütevellî	متولی	ar
müteverrim	متورم	ar
mütevâzı	متواضع	ar
mütevâzıyâne	متواضيانه	ar-fa
müteyakkız	متيقظ	ar
mütezelzil	متزلزل	ar
mütezâyid	متزاید	ar
müteârife	متعارفه	ar
müteşebbis	متشبث	ar
müteşekkil	متشکل	ar
müteşekkir	متشکر	ar
müteşekkî	متشکی	ar
müteşettit	متشتت	ar
müteşâir	متشاعر	ar
müttefik	متفق	ar
müttehid	متحد	ar
müverrah	مورخ	ar
müverrih	مورخ	ar
müverrihin	مورخين	ar
müzaheret	مظاهرت	ar
müzahrefat	مزخرفات	ar
müzakere	مذاکره	ar
müzayede	مزایده	ar
müzehheb	مذهب	ar
müzekker	مذکر	ar
müzevvir	مزور	ar
müzeyyen	مزین	ar
müzmin	مزمن	ar
müşa'şa	مشعشع	ar
müşabehet	مشابهت	ar
müşabih	مشابه	ar
müşahedât	مشاهدات	ar
müşahhas	مشخص	ar
müşarik	مشارک	ar
müşarünileyh	مشار اليه	ar
müşavere	مشاوره	ar
müşekkel	مشکل	ar
müşevveş	مشوش	ar
müşfik	مشفق	ar
müşir	مشير	ar
müşkil	مشکل	ar
müşkilpesend	مشکل پسند	ar-fa
müşkilât	مشکلات	ar
müşt	مشت	fa
müştail	مشتعل	ar
müştak	مشتاق	ar
müştehir	مشتهر	ar
müşteki	مشتکی	ar
müştemilat	مشتملات	ar
müştereken	مشترکا	ar
müşâhede	مشاهده	ar
mıkraz	مقراض	ar
mıntaka	منطقه	ar
mısbah	مصباح	ar
mısdak	مصداق	ar
mısra	مصراع	ar
mıtrak	مطرق	ar
mızrab	مضرب	ar
mızrak	مزراق	ar
na'l	نعل	ar
na'lbend	نعلبند	ar-fa
na'lbur	نعلبر	ar-fa
na'lçe	نعلچه	ar-fa
na'nâ'	نعناع	ar
na're	نعره	ar
na't	نعت	ar
na'ş	نعش	ar
naat	نعت	ar
nabz	نبض	ar
nabzgîr	نبض گير	ar-fa
nafaka	نفقه	ar
nahif	نحيف	ar
nahl	نخل	ar
nahlistan	نخلستان	ar-fa
nahs	نحس	ar
nahv	نحو	ar
nahvet	نخوت	ar
nahvî	نحوی	ar
nahçîr	نخچير	fa
nakd	نقد	ar
nakden	نقدا	ar
nakib	نقيب	ar
nakkad	نقاد	ar
nakkal	نقال	ar
nakkare	نقاره	ar
nakl	نقل	ar
naklen	نقلا	ar
nakliyat	نقليات	ar
nakliye	نقليه	ar
nakz	نقض	ar
nakîsa	نقيصه	ar
nakîse	نقيصه	ar
nakış	نقش	ar
nakş	نقش	ar
namaz	نماز	fa
namazgâh	نمازگاه	fa
namuskârane	ناموسکارانه	ar-fa
namzed	نامزد	fa
narh	نرخ	fa
nasib	نصيب	ar
nasihat	نصيحت	ar
nasrâni	نصرانی	ar
nass	نص	ar
nasâra	نصارا	ar
nasâyih	نصایح	ar
nats	نطس	ar
natûk	نطوق	ar
naz	ناز	fa
nazar	نظر	ar
nazaran	نظرا	ar
nazargâh	نظرگاه	ar-fa
nazariyat	نظریات	ar
nazariye	نظریه	ar
nazariyyat	نظریات	ar
nazarî	نظری	ar
nazif	نظيف	ar
nazile	نازله	ar
nazm	نظم	ar
nazmen	نظما	ar
nazîr	نظير	ar
nağamât	نغمات	ar
nağme	نغمه	ar
nağz	غزن	fa
nebat	نبات	fa
nebatî	نباتی	ar
neberd	نبرد	fa
nebât	نبات	ar
nebâtât	نباتات	ar
nebî	نبی	ar
nebîre	نبيره	ar
necabet	نجابت	ar
necm	نجم	ar
necâset	نجاست	ar
necîb	نجيب	ar
necîs	نجيس	ar
nedim	ندیم	ar
nedret	ندرت	ar
nedâmet	ندامت	ar
nef'	نفع	ar
nefer	نفر	ar
nefha	نفحه	ar
nefrin	نفرین	fa
nefs	نفس	ar
nefsî	نفسی	ar
neftî	نفتی	fa
nefy		ar
nefâis	نفائس	ar
nefâset	نفاست	ar
nefîr	نفير	ar
nehc	نهج	ar
neheng	نهنگ	fa
nehiy	نهی	ar
nehr	نهر	ar
nehy	نهی	ar
nehâr	نهار	ar
nehârî	نهاری	ar
nejad	نژاد	fa
nekahet	نقاهت	ar
nekbet	نکبت	ar
nekes	نکس	fa
nem	نم	fa
nemed	نمد	fa
nemedpûş	نمدپوش	fa
nemek	نمک	fa
neml	نمل	ar
nemnâk	نمناک	fa
nemâ	نما	ar
neng	ننگ	fa
nerd	نرد	fa
nerm	نرم	fa
nermin	نرمين	fa
nesc	نسج	ar
neseb	نسب	ar
nesh	نسخ	ar
nesl	نسل	ar
nesr	نثر	ar
nesren	نثرا	ar
nesrin	نسرین	fa
nessac	نساج	ar
nesteren	نسترن	fa
nesîm	نسيم	fa
netâic	نتائج	ar
netîce	نتيجه	ar
nev	ماه نو	fa
nev'	نوع	ar
nevbahar	نوبهار	fa
nevbet	نوبت	ar
nevcivan	نوجوان	fa
nevdevlet	نودولت	fa-ar
neve	نوه	fa
nevha	نوحه	ar
nevi		tr-ar
nevid	نوید	fa
nevin	نوین	fa
nevm	نوم	ar
nevmîd	نوميد	fa
nevnihal	نونهال	fa
nevres	نورس	fa
nevruz	نوروز	fa
nevruziye	نوروزیه	fa-ar
nevzad	نوزاد	fa
nevâ	نوا	fa
nevâde	نواده	fa
nevâdir	نوادر	ar
nevâle	نواله	ar
nevâz	نواز	fa
nevâziş	نوازش	fa
neyistan	نيستان	fa
neyzen	نيزن	fa
neyzâr	نيزار	fa
nez'	نزع	ar
nezd	نزد	fa
nezih	نزیه	ar
nezr	نذر	ar
nezâfet	نظافت	ar
nezâret	نظارت	ar
neş'et	نشئت	ar
neşat	نشاط	ar
neşr	نشر	ar
neşriyat	نشریات	ar
neşve	نشوه	ar
neşvedâr	نشوه دار	ar-fa
neşîde	نشيده	ar
niam	نعم	ar
nidâ'	نداء	ar
nifâk	نفاق	ar
nigeh	نگه	fa
nigâh	نگاه	fa
nigâr	نگار	fa
nigîn	نگين	fa
nihayet	نهایت	ar
nihâd	نهاد	fa
nihâl	نهال	fa
nihân	نهان	fa
nijâd	نژاد	fa
nikab	نقاب	ar
nikbin	نيکبين	fa
nilgun	نيلگون	fa
nimet	نعمت	ar
nisbet	نسبت	ar
nisbî	نسبی	ar
nisvân	نسوان	ar
nisyân	نسيان	ar
nisâ	نسا	ar
nisâb	نصاب	ar
nisâr	نثار	ar
niyyet	نيت	ar
niyâbet	نيابت	ar
niyâm	نيام	fa
niyâz	نياز	fa
niyâzmend	نيازمند	fa
nizâ	نزاع	ar
nizâm	نظام	ar
nizâmname	نظام نامه	ar-fa
nişan	نشان	fa
nişangâh	نشانگاه	fa
nişâne	نشانه	fa
nişîn	نشين	fa
nohudî	نخودی	fa
noksân	نقصان	ar
nuhbe	نخبه	ar
nukud	نقود	ar
nukât	نقاط	ar
